"GEO_ID","NAME","H10_001N","H10_001NA","H10_002N","H10_002NA","H10_003N","H10_003NA","H10_004N","H10_004NA","H10_005N","H10_005NA","H10_006N","H10_006NA","H10_007N","H10_007NA","H10_008N","H10_008NA","H10_009N","H10_009NA","H10_010N","H10_010NA","H10_011N","H10_011NA","H10_012N","H10_012NA","H10_013N","H10_013NA","H10_014N","H10_014NA","H10_015N","H10_015NA","H10_016N","H10_016NA","H10_017N","H10_017NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Owner occupied:","Annotation of  !!Total:!!Owner occupied:"," !!Total:!!Owner occupied:!!Householder who is White alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is White alone"," !!Total:!!Owner occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Black or African American alone"," !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Owner occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Asian alone"," !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Owner occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Some Other Race alone"," !!Total:!!Owner occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Owner occupied:!!Householder who is Two or More Races"," !!Total:!!Renter occupied:","Annotation of  !!Total:!!Renter occupied:"," !!Total:!!Renter occupied:!!Householder who is White alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is White alone"," !!Total:!!Renter occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Black or African American alone"," !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Renter occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Asian alone"," !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Renter occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Some Other Race alone"," !!Total:!!Renter occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Renter occupied:!!Householder who is Two or More Races",
"860Z200US62642","ZCTA5 62642","569","null","476","null","452","null","4","null","2","null","0","null","0","null","1","null","17","null","93","null","81","null","4","null","1","null","0","null","0","null","3","null","4","null",
"860Z200US62643","ZCTA5 62643","192","null","136","null","129","null","0","null","1","null","0","null","0","null","0","null","6","null","56","null","51","null","1","null","1","null","0","null","0","null","0","null","3","null",
"860Z200US62644","ZCTA5 62644","2090","null","1535","null","1482","null","0","null","3","null","1","null","0","null","2","null","47","null","555","null","508","null","0","null","3","null","4","null","0","null","4","null","36","null",
"860Z200US62649","ZCTA5 62649","181","null","151","null","145","null","0","null","1","null","0","null","0","null","0","null","5","null","30","null","30","null","0","null","0","null","0","null","0","null","0","null","0","null",
"860Z200US62650","ZCTA5 62650","10127","null","6642","null","6236","null","155","null","13","null","34","null","0","null","34","null","170","null","3485","null","2919","null","318","null","12","null","32","null","0","null","25","null","179","null",
"860Z200US62655","ZCTA5 62655","232","null","184","null","181","null","0","null","0","null","0","null","0","null","0","null","3","null","48","null","46","null","2","null","0","null","0","null","0","null","0","null","0","null",
"860Z200US62656","ZCTA5 62656","6832","null","4538","null","4329","null","43","null","6","null","23","null","1","null","18","null","118","null","2294","null","2063","null","101","null","5","null","18","null","0","null","14","null","93","null",
"860Z200US62661","ZCTA5 62661","502","null","403","null","387","null","0","null","0","null","2","null","0","null","3","null","11","null","99","null","89","null","5","null","0","null","0","null","0","null","2","null","3","null",
"860Z200US62663","ZCTA5 62663","120","null","98","null","94","null","1","null","0","null","1","null","0","null","0","null","2","null","22","null","19","null","1","null","0","null","0","null","0","null","1","null","1","null",
"860Z200US62664","ZCTA5 62664","1161","null","905","null","877","null","0","null","3","null","1","null","0","null","2","null","22","null","256","null","242","null","1","null","0","null","2","null","0","null","1","null","10","null",
"860Z200US62665","ZCTA5 62665","543","null","429","null","418","null","0","null","0","null","1","null","0","null","1","null","9","null","114","null","112","null","1","null","0","null","0","null","0","null","1","null","0","null",
"860Z200US62666","ZCTA5 62666","247","null","204","null","197","null","0","null","0","null","2","null","0","null","0","null","5","null","43","null","42","null","0","null","0","null","0","null","0","null","0","null","1","null",
"860Z200US62667","ZCTA5 62667","181","null","152","null","146","null","0","null","0","null","0","null","0","null","0","null","6","null","29","null","27","null","0","null","0","null","0","null","0","null","0","null","2","null",
"860Z200US62668","ZCTA5 62668","592","null","489","null","469","null","2","null","0","null","1","null","0","null","1","null","16","null","103","null","102","null","0","null","0","null","0","null","0","null","0","null","1","null",
"860Z200US62670","ZCTA5 62670","1231","null","1042","null","1003","null","8","null","1","null","4","null","1","null","2","null","23","null","189","null","172","null","5","null","2","null","1","null","0","null","0","null","9","null",
"860Z200US62671","ZCTA5 62671","216","null","173","null","164","null","0","null","0","null","1","null","0","null","1","null","7","null","43","null","39","null","0","null","1","null","0","null","0","null","0","null","3","null",
"860Z200US62672","ZCTA5 62672","92","null","77","null","68","null","0","null","0","null","0","null","0","null","0","null","9","null","15","null","15","null","0","null","0","null","0","null","0","null","0","null","0","null",
